Gene stable ID	Gene stable ID version	Transcript stable ID	Transcript stable ID version	Zebrafish gene name	Zebrafish chromosome/scaffold name	Zebrafish chromosome/scaffold start (bp)	Zebrafish chromosome/scaffold end (bp)	Chicken gene name	Chicken chromosome/scaffold name	Chicken chromosome/scaffold start (bp)	Chicken chromosome/scaffold end (bp)
ENSG00000040275	ENSG00000040275.18	ENST00000523518	ENST00000523518.1	spdl1	14	38810385	38843690	SPDL1	13	3764606	3787552
ENSG00000040275	ENSG00000040275.18	ENST00000925120	ENST00000925120.1	spdl1	14	38810385	38843690	SPDL1	13	3764606	3787552
ENSG00000040275	ENSG00000040275.18	ENST00000925121	ENST00000925121.1	spdl1	14	38810385	38843690	SPDL1	13	3764606	3787552
ENSG00000040275	ENSG00000040275.18	ENST00000925122	ENST00000925122.1	spdl1	14	38810385	38843690	SPDL1	13	3764606	3787552
ENSG00000040275	ENSG00000040275.18	ENST00000925123	ENST00000925123.1	spdl1	14	38810385	38843690	SPDL1	13	3764606	3787552
ENSG00000040275	ENSG00000040275.18	ENST00000925124	ENST00000925124.1	spdl1	14	38810385	38843690	SPDL1	13	3764606	3787552
ENSG00000040275	ENSG00000040275.18	ENST00000925125	ENST00000925125.1	spdl1	14	38810385	38843690	SPDL1	13	3764606	3787552
ENSG00000040275	ENSG00000040275.18	ENST00000961466	ENST00000961466.1	spdl1	14	38810385	38843690	SPDL1	13	3764606	3787552
ENSG00000160867	ENSG00000160867.16	ENST00000503708	ENST00000503708.5					FGFR4	13	9880159	9885338
ENSG00000160867	ENSG00000160867.16	ENST00000393648	ENST00000393648.6					FGFR4	13	9880159	9885338
ENSG00000160867	ENSG00000160867.16	ENST00000514472	ENST00000514472.1					FGFR4	13	9880159	9885338
ENSG00000160867	ENSG00000160867.16	ENST00000502906	ENST00000502906.5					FGFR4	13	9880159	9885338
ENSG00000160867	ENSG00000160867.16	ENST00000292408	ENST00000292408.9					FGFR4	13	9880159	9885338
ENSG00000160867	ENSG00000160867.16	ENST00000510911	ENST00000510911.5					FGFR4	13	9880159	9885338
ENSG00000160867	ENSG00000160867.16	ENST00000507708	ENST00000507708.1					FGFR4	13	9880159	9885338
ENSG00000160867	ENSG00000160867.16	ENST00000513166	ENST00000513166.1					FGFR4	13	9880159	9885338
ENSG00000160867	ENSG00000160867.16	ENST00000393637	ENST00000393637.5					FGFR4	13	9880159	9885338
ENSG00000160867	ENSG00000160867.16	ENST00000430285	ENST00000430285.5					FGFR4	13	9880159	9885338
ENSG00000160867	ENSG00000160867.16	ENST00000426612	ENST00000426612.5					FGFR4	13	9880159	9885338
ENSG00000160867	ENSG00000160867.16	ENST00000509511	ENST00000509511.5					FGFR4	13	9880159	9885338
ENSG00000160867	ENSG00000160867.16	ENST00000508139	ENST00000508139.1					FGFR4	13	9880159	9885338
ENSG00000160867	ENSG00000160867.16	ENST00000511076	ENST00000511076.1					FGFR4	13	9880159	9885338
ENSG00000160867	ENSG00000160867.16	ENST00000483872	ENST00000483872.2					FGFR4	13	9880159	9885338
ENSG00000160867	ENSG00000160867.16	ENST00000513423	ENST00000513423.1					FGFR4	13	9880159	9885338
ENSG00000160867	ENSG00000160867.16	ENST00000885509	ENST00000885509.1					FGFR4	13	9880159	9885338
ENSG00000160867	ENSG00000160867.16	ENST00000885510	ENST00000885510.1					FGFR4	13	9880159	9885338
ENSG00000160867	ENSG00000160867.16	ENST00000885511	ENST00000885511.1					FGFR4	13	9880159	9885338
ENSG00000160867	ENSG00000160867.16	ENST00000885512	ENST00000885512.1					FGFR4	13	9880159	9885338
ENSG00000160867	ENSG00000160867.16	ENST00000885513	ENST00000885513.1					FGFR4	13	9880159	9885338
ENSG00000160867	ENSG00000160867.16	ENST00000885514	ENST00000885514.1					FGFR4	13	9880159	9885338
ENSG00000160867	ENSG00000160867.16	ENST00000885515	ENST00000885515.1					FGFR4	13	9880159	9885338
ENSG00000160867	ENSG00000160867.16	ENST00000885516	ENST00000885516.1					FGFR4	13	9880159	9885338
ENSG00000160867	ENSG00000160867.16	ENST00000885517	ENST00000885517.1					FGFR4	13	9880159	9885338
ENSG00000160867	ENSG00000160867.16	ENST00000885518	ENST00000885518.1					FGFR4	13	9880159	9885338
ENSG00000160867	ENSG00000160867.16	ENST00000885519	ENST00000885519.1					FGFR4	13	9880159	9885338
ENSG00000160867	ENSG00000160867.16	ENST00000885520	ENST00000885520.1					FGFR4	13	9880159	9885338
ENSG00000160867	ENSG00000160867.16	ENST00000885521	ENST00000885521.1					FGFR4	13	9880159	9885338
ENSG00000160867	ENSG00000160867.16	ENST00000885522	ENST00000885522.1					FGFR4	13	9880159	9885338
ENSG00000160867	ENSG00000160867.16	ENST00000885523	ENST00000885523.1					FGFR4	13	9880159	9885338
ENSG00000160867	ENSG00000160867.16	ENST00000885524	ENST00000885524.1					FGFR4	13	9880159	9885338
ENSG00000160867	ENSG00000160867.16	ENST00000885525	ENST00000885525.1					FGFR4	13	9880159	9885338
ENSG00000160867	ENSG00000160867.16	ENST00000885526	ENST00000885526.1					FGFR4	13	9880159	9885338
ENSG00000160867	ENSG00000160867.16	ENST00000885527	ENST00000885527.1					FGFR4	13	9880159	9885338
ENSG00000160867	ENSG00000160867.16	ENST00000885528	ENST00000885528.1					FGFR4	13	9880159	9885338
ENSG00000160867	ENSG00000160867.16	ENST00000885529	ENST00000885529.1					FGFR4	13	9880159	9885338
ENSG00000160867	ENSG00000160867.16	ENST00000885530	ENST00000885530.1					FGFR4	13	9880159	9885338
ENSG00000160867	ENSG00000160867.16	ENST00000885531	ENST00000885531.1					FGFR4	13	9880159	9885338
ENSG00000160867	ENSG00000160867.16	ENST00000934141	ENST00000934141.1					FGFR4	13	9880159	9885338
ENSG00000160867	ENSG00000160867.16	ENST00000934142	ENST00000934142.1					FGFR4	13	9880159	9885338
ENSG00000160867	ENSG00000160867.16	ENST00000934143	ENST00000934143.1					FGFR4	13	9880159	9885338
ENSG00000160867	ENSG00000160867.16	ENST00000934144	ENST00000934144.1					FGFR4	13	9880159	9885338
ENSG00000160867	ENSG00000160867.16	ENST00000934145	ENST00000934145.1					FGFR4	13	9880159	9885338
ENSG00000160867	ENSG00000160867.16	ENST00000934146	ENST00000934146.1					FGFR4	13	9880159	9885338
ENSG00000160867	ENSG00000160867.16	ENST00000934147	ENST00000934147.1					FGFR4	13	9880159	9885338
ENSG00000160867	ENSG00000160867.16	ENST00000934148	ENST00000934148.1					FGFR4	13	9880159	9885338
ENSG00000160867	ENSG00000160867.16	ENST00000934149	ENST00000934149.1					FGFR4	13	9880159	9885338
ENSG00000160867	ENSG00000160867.16	ENST00000934150	ENST00000934150.1					FGFR4	13	9880159	9885338
ENSG00000160867	ENSG00000160867.16	ENST00000934151	ENST00000934151.1					FGFR4	13	9880159	9885338
ENSG00000160867	ENSG00000160867.16	ENST00000934152	ENST00000934152.1					FGFR4	13	9880159	9885338
ENSG00000160867	ENSG00000160867.16	ENST00000961676	ENST00000961676.1					FGFR4	13	9880159	9885338
ENSG00000160867	ENSG00000160867.16	ENST00000961677	ENST00000961677.1					FGFR4	13	9880159	9885338
ENSG00000160867	ENSG00000160867.16	ENST00000961678	ENST00000961678.1					FGFR4	13	9880159	9885338
ENSG00000160867	ENSG00000160867.16	ENST00000961679	ENST00000961679.1					FGFR4	13	9880159	9885338
ENSG00000160867	ENSG00000160867.16	ENST00000961680	ENST00000961680.1					FGFR4	13	9880159	9885338
ENSG00000160867	ENSG00000160867.16	ENST00000961681	ENST00000961681.1					FGFR4	13	9880159	9885338
ENSG00000160867	ENSG00000160867.16	ENST00000961682	ENST00000961682.1					FGFR4	13	9880159	9885338
ENSG00000160867	ENSG00000160867.16	ENST00000961683	ENST00000961683.1					FGFR4	13	9880159	9885338
